NO,JENJANG,PROGRAM STUDI,STATUS PENDIDIKAN,NAMA PROVINSI,JUMLAH SATUAN PENDIDIKAN,JUMLAH PESERTA,MATA UJI,RERATA NILAI,TAHUN
6828,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI TENGGARA,3,61,TAFSIR,59.28,2017
6829,SMA/MA,KEAGAMAAN,NEGERI,MALUKU,0,0,TAFSIR,-,2017
6830,SMA/MA,KEAGAMAAN,NEGERI,BALI,3,69,TAFSIR,64.11,2017
6831,SMA/MA,KEAGAMAAN,NEGERI,NUSA TENGGARA BARAT,14,354,TAFSIR,60.2,2017
6832,SMA/MA,KEAGAMAAN,NEGERI,NUSA TENGGARA TIMUR,8,136,TAFSIR,56.6,2017
6833,SMA/MA,KEAGAMAAN,NEGERI,PAPUA,0,0,TAFSIR,-,2017
6834,SMA/MA,KEAGAMAAN,NEGERI,BENGKULU,2,67,TAFSIR,56,2017
6835,SMA/MA,KEAGAMAAN,NEGERI,MALUKU UTARA,0,0,TAFSIR,-,2017
6836,SMA/MA,KEAGAMAAN,NEGERI,BANGKA BELITUNG,1,52,TAFSIR,74,2017
6837,SMA/MA,KEAGAMAAN,NEGERI,GORONTALO,3,67,TAFSIR,62.32,2017
6838,SMA/MA,KEAGAMAAN,NEGERI,BANTEN,11,411,TAFSIR,67.25,2017
6839,SMA/MA,KEAGAMAAN,NEGERI,KEPULAUAN RIAU,2,88,TAFSIR,62.89,2017
6840,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI BARAT,4,146,TAFSIR,51.88,2017
6841,SMA/MA,KEAGAMAAN,NEGERI,PAPUA BARAT,3,63,TAFSIR,67.45,2017
6842,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN UTARA,1,21,TAFSIR,-,2017
6843,SMA/MA,KEAGAMAAN,NEGERI,DKI JAKARTA,15,551,HADIS,72.15,2017
6844,SMA/MA,KEAGAMAAN,NEGERI,JAWA BARAT,32,1374,HADIS,73.75,2017
6845,SMA/MA,KEAGAMAAN,NEGERI,JAWA TENGAH,50,1985,HADIS,77.59,2017
6846,SMA/MA,KEAGAMAAN,NEGERI,DI YOGYAKARTA,11,218,HADIS,81.28,2017
6847,SMA/MA,KEAGAMAAN,NEGERI,JAWA TIMUR,73,2595,HADIS,76.89,2017
6848,SMA/MA,KEAGAMAAN,NEGERI,ACEH,10,284,HADIS,61.87,2017
6849,SMA/MA,KEAGAMAAN,NEGERI,SUMATERA UTARA,20,805,HADIS,69.82,2017
6850,SMA/MA,KEAGAMAAN,NEGERI,SUMATERA BARAT,45,1417,HADIS,74.91,2017
6851,SMA/MA,KEAGAMAAN,NEGERI,RIAU,5,170,HADIS,80.93,2017
6852,SMA/MA,KEAGAMAAN,NEGERI,JAMBI,8,261,HADIS,72.66,2017
6853,SMA/MA,KEAGAMAAN,NEGERI,SUMATERA SELATAN,6,198,HADIS,56.22,2017
6854,SMA/MA,KEAGAMAAN,NEGERI,LAMPUNG,4,159,HADIS,87,2017
6855,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN BARAT,5,168,HADIS,59.93,2017
6856,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN TENGAH,5,185,HADIS,76.4,2017
6857,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN SELATAN,34,1067,HADIS,67.55,2017
6858,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN TIMUR,4,168,HADIS,78.2,2017
6859,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI UTARA,2,84,HADIS,76.56,2017
6860,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI TENGAH,8,241,HADIS,67.94,2017
6861,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI SELATAN,5,139,HADIS,55.23,2017
6862,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI TENGGARA,3,61,HADIS,60.71,2017
6863,SMA/MA,KEAGAMAAN,NEGERI,MALUKU,0,0,HADIS,-,2017
6864,SMA/MA,KEAGAMAAN,NEGERI,BALI,3,69,HADIS,70.73,2017
6865,SMA/MA,KEAGAMAAN,NEGERI,NUSA TENGGARA BARAT,14,354,HADIS,62.68,2017
6866,SMA/MA,KEAGAMAAN,NEGERI,NUSA TENGGARA TIMUR,8,136,HADIS,65.7,2017
6867,SMA/MA,KEAGAMAAN,NEGERI,PAPUA,0,0,HADIS,-,2017
6868,SMA/MA,KEAGAMAAN,NEGERI,BENGKULU,2,67,HADIS,62,2017
6869,SMA/MA,KEAGAMAAN,NEGERI,MALUKU UTARA,0,0,HADIS,-,2017
6870,SMA/MA,KEAGAMAAN,NEGERI,BANGKA BELITUNG,1,52,HADIS,84,2017
6871,SMA/MA,KEAGAMAAN,NEGERI,GORONTALO,3,67,HADIS,81.5,2017
6872,SMA/MA,KEAGAMAAN,NEGERI,BANTEN,11,411,HADIS,62.65,2017
6873,SMA/MA,KEAGAMAAN,NEGERI,KEPULAUAN RIAU,2,88,HADIS,81.43,2017
6874,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI BARAT,4,146,HADIS,67.16,2017
6875,SMA/MA,KEAGAMAAN,NEGERI,PAPUA BARAT,3,63,HADIS,68.5,2017
6876,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN UTARA,1,21,HADIS,54.19,2017
6877,SMA/MA,KEAGAMAAN,NEGERI,DKI JAKARTA,15,551,FIKIH,54.67,2017
6878,SMA/MA,KEAGAMAAN,NEGERI,JAWA BARAT,32,1374,FIKIH,56.08,2017
6879,SMA/MA,KEAGAMAAN,NEGERI,JAWA TENGAH,50,1985,FIKIH,55.75,2017
6880,SMA/MA,KEAGAMAAN,NEGERI,DI YOGYAKARTA,11,218,FIKIH,56.31,2017
6881,SMA/MA,KEAGAMAAN,NEGERI,JAWA TIMUR,73,2595,FIKIH,57.4,2017
6882,SMA/MA,KEAGAMAAN,NEGERI,ACEH,10,284,FIKIH,48.34,2017
6883,SMA/MA,KEAGAMAAN,NEGERI,SUMATERA UTARA,20,805,FIKIH,52.97,2017
6884,SMA/MA,KEAGAMAAN,NEGERI,SUMATERA BARAT,45,1417,FIKIH,52.53,2017
6885,SMA/MA,KEAGAMAAN,NEGERI,RIAU,5,170,FIKIH,57.27,2017
6886,SMA/MA,KEAGAMAAN,NEGERI,JAMBI,8,261,FIKIH,43.05,2017
6887,SMA/MA,KEAGAMAAN,NEGERI,SUMATERA SELATAN,6,198,FIKIH,41.62,2017
6888,SMA/MA,KEAGAMAAN,NEGERI,LAMPUNG,4,159,FIKIH,54.98,2017
6889,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN BARAT,5,168,FIKIH,48.29,2017
6890,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN TENGAH,5,185,FIKIH,55.68,2017
6891,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN SELATAN,34,1067,FIKIH,54.05,2017
6892,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN TIMUR,4,168,FIKIH,50.5,2017
6893,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI UTARA,2,84,FIKIH,51.33,2017
6894,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI TENGAH,8,241,FIKIH,43.27,2017
6895,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI SELATAN,5,139,FIKIH,47.28,2017
6896,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI TENGGARA,3,61,FIKIH,-,2017
6897,SMA/MA,KEAGAMAAN,NEGERI,MALUKU,0,0,FIKIH,-,2017
6898,SMA/MA,KEAGAMAAN,NEGERI,BALI,3,69,FIKIH,53.52,2017
6899,SMA/MA,KEAGAMAAN,NEGERI,NUSA TENGGARA BARAT,14,354,FIKIH,43.8,2017
6900,SMA/MA,KEAGAMAAN,NEGERI,NUSA TENGGARA TIMUR,8,136,FIKIH,43.08,2017
6901,SMA/MA,KEAGAMAAN,NEGERI,PAPUA,0,0,FIKIH,-,2017
6902,SMA/MA,KEAGAMAAN,NEGERI,BENGKULU,2,67,FIKIH,50.63,2017
6903,SMA/MA,KEAGAMAAN,NEGERI,MALUKU UTARA,0,0,FIKIH,-,2017
6904,SMA/MA,KEAGAMAAN,NEGERI,BANGKA BELITUNG,1,52,FIKIH,45.96,2017
6905,SMA/MA,KEAGAMAAN,NEGERI,GORONTALO,3,67,FIKIH,49,2017
6906,SMA/MA,KEAGAMAAN,NEGERI,BANTEN,11,411,FIKIH,50.6,2017
6907,SMA/MA,KEAGAMAAN,NEGERI,KEPULAUAN RIAU,2,88,FIKIH,56.89,2017
6908,SMA/MA,KEAGAMAAN,NEGERI,SULAWESI BARAT,4,146,FIKIH,36.81,2017
6909,SMA/MA,KEAGAMAAN,NEGERI,PAPUA BARAT,3,63,FIKIH,51.65,2017
6910,SMA/MA,KEAGAMAAN,NEGERI,KALIMANTAN UTARA,1,21,FIKIH,-,2017
6911,SMA/MA,KEAGAMAAN,SWASTA,DKI JAKARTA,6,144,BAHASA INDONESIA,69.83,2017
6912,SMA/MA,KEAGAMAAN,SWASTA,JAWA BARAT,59,2109,BAHASA INDONESIA,66.17,2017
6913,SMA/MA,KEAGAMAAN,SWASTA,JAWA TENGAH,56,2578,BAHASA INDONESIA,69.61,2017
6914,SMA/MA,KEAGAMAAN,SWASTA,DI YOGYAKARTA,18,578,BAHASA INDONESIA,76.6,2017
6915,SMA/MA,KEAGAMAAN,SWASTA,JAWA TIMUR,109,4072,BAHASA INDONESIA,63.84,2017
6916,SMA/MA,KEAGAMAAN,SWASTA,ACEH,11,319,BAHASA INDONESIA,61.93,2017
6917,SMA/MA,KEAGAMAAN,SWASTA,SUMATERA UTARA,15,307,BAHASA INDONESIA,60.38,2017
6918,SMA/MA,KEAGAMAAN,SWASTA,SUMATERA BARAT,44,749,BAHASA INDONESIA,64.9,2017
6919,SMA/MA,KEAGAMAAN,SWASTA,RIAU,11,305,BAHASA INDONESIA,63.43,2017
6920,SMA/MA,KEAGAMAAN,SWASTA,JAMBI,12,438,BAHASA INDONESIA,53.15,2017
6921,SMA/MA,KEAGAMAAN,SWASTA,SUMATERA SELATAN,19,685,BAHASA INDONESIA,60.86,2017
6922,SMA/MA,KEAGAMAAN,SWASTA,LAMPUNG,17,520,BAHASA INDONESIA,61.07,2017
6923,SMA/MA,KEAGAMAAN,SWASTA,KALIMANTAN BARAT,7,167,BAHASA INDONESIA,60.53,2017
6924,SMA/MA,KEAGAMAAN,SWASTA,KALIMANTAN TENGAH,4,34,BAHASA INDONESIA,66.41,2017
6925,SMA/MA,KEAGAMAAN,SWASTA,KALIMANTAN SELATAN,16,460,BAHASA INDONESIA,64.29,2017
6926,SMA/MA,KEAGAMAAN,SWASTA,KALIMANTAN TIMUR,2,51,BAHASA INDONESIA,61.41,2017
6927,SMA/MA,KEAGAMAAN,SWASTA,SULAWESI UTARA,1,23,BAHASA INDONESIA,50,2017
6928,SMA/MA,KEAGAMAAN,SWASTA,SULAWESI TENGAH,12,221,BAHASA INDONESIA,65.07,2017
6929,SMA/MA,KEAGAMAAN,SWASTA,SULAWESI SELATAN,13,344,BAHASA INDONESIA,57.21,2017
6930,SMA/MA,KEAGAMAAN,SWASTA,SULAWESI TENGGARA,1,18,BAHASA INDONESIA,49.22,2017
6931,SMA/MA,KEAGAMAAN,SWASTA,MALUKU,0,0,BAHASA INDONESIA,-,2017
6932,SMA/MA,KEAGAMAAN,SWASTA,BALI,2,54,BAHASA INDONESIA,65.48,2017
6933,SMA/MA,KEAGAMAAN,SWASTA,NUSA TENGGARA BARAT,40,1127,BAHASA INDONESIA,55.07,2017
6934,SMA/MA,KEAGAMAAN,SWASTA,NUSA TENGGARA TIMUR,3,51,BAHASA INDONESIA,49.41,2017
6935,SMA/MA,KEAGAMAAN,SWASTA,PAPUA,1,2,BAHASA INDONESIA,41,2017
6936,SMA/MA,KEAGAMAAN,SWASTA,BENGKULU,0,0,BAHASA INDONESIA,-,2017
6937,SMA/MA,KEAGAMAAN,SWASTA,MALUKU UTARA,0,0,BAHASA INDONESIA,-,2017
6938,SMA/MA,KEAGAMAAN,SWASTA,BANGKA BELITUNG,2,73,BAHASA INDONESIA,61.59,2017
6939,SMA/MA,KEAGAMAAN,SWASTA,GORONTALO,4,65,BAHASA INDONESIA,58.92,2017
6940,SMA/MA,KEAGAMAAN,SWASTA,BANTEN,9,213,BAHASA INDONESIA,57.57,2017
6941,SMA/MA,KEAGAMAAN,SWASTA,KEPULAUAN RIAU,1,50,BAHASA INDONESIA,62.72,2017
6942,SMA/MA,KEAGAMAAN,SWASTA,SULAWESI BARAT,11,303,BAHASA INDONESIA,51.64,2017
6943,SMA/MA,KEAGAMAAN,SWASTA,PAPUA BARAT,2,25,BAHASA INDONESIA,60.48,2017
6944,SMA/MA,KEAGAMAAN,SWASTA,KALIMANTAN UTARA,0,0,BAHASA INDONESIA,-,2017
6945,SMA/MA,KEAGAMAAN,SWASTA,DKI JAKARTA,6,144,BAHASA INGGRIS,44.96,2017
6946,SMA/MA,KEAGAMAAN,SWASTA,JAWA BARAT,59,2109,BAHASA INGGRIS,41.36,2017
6947,SMA/MA,KEAGAMAAN,SWASTA,JAWA TENGAH,56,2578,BAHASA INGGRIS,40.98,2017
6948,SMA/MA,KEAGAMAAN,SWASTA,DI YOGYAKARTA,18,578,BAHASA INGGRIS,46.71,2017
6949,SMA/MA,KEAGAMAAN,SWASTA,JAWA TIMUR,109,4072,BAHASA INGGRIS,38.89,2017
6950,SMA/MA,KEAGAMAAN,SWASTA,ACEH,11,319,BAHASA INGGRIS,43.74,2017
6951,SMA/MA,KEAGAMAAN,SWASTA,SUMATERA UTARA,15,307,BAHASA INGGRIS,48.95,2017
6952,SMA/MA,KEAGAMAAN,SWASTA,SUMATERA BARAT,44,749,BAHASA INGGRIS,41.07,2017
6953,SMA/MA,KEAGAMAAN,SWASTA,RIAU,11,305,BAHASA INGGRIS,39.26,2017
6954,SMA/MA,KEAGAMAAN,SWASTA,JAMBI,12,438,BAHASA INGGRIS,39.07,2017
6955,SMA/MA,KEAGAMAAN,SWASTA,SUMATERA SELATAN,19,685,BAHASA INGGRIS,33.43,2017
6956,SMA/MA,KEAGAMAAN,SWASTA,LAMPUNG,17,520,BAHASA INGGRIS,35.13,2017
6957,SMA/MA,KEAGAMAAN,SWASTA,KALIMANTAN BARAT,7,167,BAHASA INGGRIS,28.44,2017
6958,SMA/MA,KEAGAMAAN,SWASTA,KALIMANTAN TENGAH,4,34,BAHASA INGGRIS,39.82,2017
6959,SMA/MA,KEAGAMAAN,SWASTA,KALIMANTAN SELATAN,16,460,BAHASA INGGRIS,45.71,2017
6960,SMA/MA,KEAGAMAAN,SWASTA,KALIMANTAN TIMUR,2,51,BAHASA INGGRIS,38.27,2017
6961,SMA/MA,KEAGAMAAN,SWASTA,SULAWESI UTARA,1,23,BAHASA INGGRIS,58.96,2017
6962,SMA/MA,KEAGAMAAN,SWASTA,SULAWESI TENGAH,12,221,BAHASA INGGRIS,50.33,2017
6963,SMA/MA,KEAGAMAAN,SWASTA,SULAWESI SELATAN,13,344,BAHASA INGGRIS,55.98,2017
6964,SMA/MA,KEAGAMAAN,SWASTA,SULAWESI TENGGARA,1,18,BAHASA INGGRIS,50.56,2017
6965,SMA/MA,KEAGAMAAN,SWASTA,MALUKU,0,0,BAHASA INGGRIS,-,2017
6966,SMA/MA,KEAGAMAAN,SWASTA,BALI,2,54,BAHASA INGGRIS,51.48,2017
6967,SMA/MA,KEAGAMAAN,SWASTA,NUSA TENGGARA BARAT,40,1127,BAHASA INGGRIS,37.75,2017
6968,SMA/MA,KEAGAMAAN,SWASTA,NUSA TENGGARA TIMUR,3,51,BAHASA INGGRIS,29.61,2017
6969,SMA/MA,KEAGAMAAN,SWASTA,PAPUA,1,2,BAHASA INGGRIS,45,2017
6970,SMA/MA,KEAGAMAAN,SWASTA,BENGKULU,0,0,BAHASA INGGRIS,-,2017
6971,SMA/MA,KEAGAMAAN,SWASTA,MALUKU UTARA,0,0,BAHASA INGGRIS,-,2017
6972,SMA/MA,KEAGAMAAN,SWASTA,BANGKA BELITUNG,2,73,BAHASA INGGRIS,32.79,2017
6973,SMA/MA,KEAGAMAAN,SWASTA,GORONTALO,4,65,BAHASA INGGRIS,35.73,2017
6974,SMA/MA,KEAGAMAAN,SWASTA,BANTEN,9,213,BAHASA INGGRIS,28.66,2017
6975,SMA/MA,KEAGAMAAN,SWASTA,KEPULAUAN RIAU,1,50,BAHASA INGGRIS,39.08,2017
6976,SMA/MA,KEAGAMAAN,SWASTA,SULAWESI BARAT,11,303,BAHASA INGGRIS,39.36,2017
6977,SMA/MA,KEAGAMAAN,SWASTA,PAPUA BARAT,2,25,BAHASA INGGRIS,43.84,2017
6978,SMA/MA,KEAGAMAAN,SWASTA,KALIMANTAN UTARA,0,0,BAHASA INGGRIS,-,2017
6979,SMA/MA,KEAGAMAAN,SWASTA,DKI JAKARTA,6,144,MATEMATIKA,39.06,2017
6980,SMA/MA,KEAGAMAAN,SWASTA,JAWA BARAT,59,2109,MATEMATIKA,40.9,2017
6981,SMA/MA,KEAGAMAAN,SWASTA,JAWA TENGAH,56,2578,MATEMATIKA,44.66,2017
6982,SMA/MA,KEAGAMAAN,SWASTA,DI YOGYAKARTA,18,578,MATEMATIKA,53.91,2017
6983,SMA/MA,KEAGAMAAN,SWASTA,JAWA TIMUR,109,4072,MATEMATIKA,40.55,2017
6984,SMA/MA,KEAGAMAAN,SWASTA,ACEH,11,319,MATEMATIKA,43.33,2017
6985,SMA/MA,KEAGAMAAN,SWASTA,SUMATERA UTARA,15,307,MATEMATIKA,43.68,2017
6986,SMA/MA,KEAGAMAAN,SWASTA,SUMATERA BARAT,44,749,MATEMATIKA,38.26,2017
6987,SMA/MA,KEAGAMAAN,SWASTA,RIAU,11,305,MATEMATIKA,38.55,2017
6988,SMA/MA,KEAGAMAAN,SWASTA,JAMBI,12,438,MATEMATIKA,28.64,2017
6989,SMA/MA,KEAGAMAAN,SWASTA,SUMATERA SELATAN,19,685,MATEMATIKA,27.9,2017
6990,SMA/MA,KEAGAMAAN,SWASTA,LAMPUNG,17,520,MATEMATIKA,26.07,2017
6991,SMA/MA,KEAGAMAAN,SWASTA,KALIMANTAN BARAT,7,167,MATEMATIKA,28.47,2017
6992,SMA/MA,KEAGAMAAN,SWASTA,KALIMANTAN TENGAH,4,34,MATEMATIKA,30.44,2017
6993,SMA/MA,KEAGAMAAN,SWASTA,KALIMANTAN SELATAN,16,460,MATEMATIKA,35.8,2017
6994,SMA/MA,KEAGAMAAN,SWASTA,KALIMANTAN TIMUR,2,51,MATEMATIKA,29.85,2017
6995,SMA/MA,KEAGAMAAN,SWASTA,SULAWESI UTARA,1,23,MATEMATIKA,25.87,2017
6996,SMA/MA,KEAGAMAAN,SWASTA,SULAWESI TENGAH,12,221,MATEMATIKA,44.76,2017
6997,SMA/MA,KEAGAMAAN,SWASTA,SULAWESI SELATAN,13,344,MATEMATIKA,46.3,2017
6998,SMA/MA,KEAGAMAAN,SWASTA,SULAWESI TENGGARA,1,18,MATEMATIKA,27.36,2017
6999,SMA/MA,KEAGAMAAN,SWASTA,MALUKU,0,0,MATEMATIKA,-,2017
7000,SMA/MA,KEAGAMAAN,SWASTA,BALI,2,54,MATEMATIKA,35.04,2017
7001,SMA/MA,KEAGAMAAN,SWASTA,NUSA TENGGARA BARAT,40,1127,MATEMATIKA,31.08,2017
7002,SMA/MA,KEAGAMAAN,SWASTA,NUSA TENGGARA TIMUR,3,51,MATEMATIKA,23.38,2017
7003,SMA/MA,KEAGAMAAN,SWASTA,PAPUA,1,2,MATEMATIKA,52.5,2017
7004,SMA/MA,KEAGAMAAN,SWASTA,BENGKULU,0,0,MATEMATIKA,-,2017
7005,SMA/MA,KEAGAMAAN,SWASTA,MALUKU UTARA,0,0,MATEMATIKA,-,2017
7006,SMA/MA,KEAGAMAAN,SWASTA,BANGKA BELITUNG,2,73,MATEMATIKA,31.58,2017
7007,SMA/MA,KEAGAMAAN,SWASTA,GORONTALO,4,65,MATEMATIKA,33.04,2017
7008,SMA/MA,KEAGAMAAN,SWASTA,BANTEN,9,213,MATEMATIKA,23.64,2017
7009,SMA/MA,KEAGAMAAN,SWASTA,KEPULAUAN RIAU,1,50,MATEMATIKA,28.25,2017
7010,SMA/MA,KEAGAMAAN,SWASTA,SULAWESI BARAT,11,303,MATEMATIKA,33.14,2017
7011,SMA/MA,KEAGAMAAN,SWASTA,PAPUA BARAT,2,25,MATEMATIKA,40.4,2017
7012,SMA/MA,KEAGAMAAN,SWASTA,KALIMANTAN UTARA,0,0,MATEMATIKA,-,2017
7013,SMA/MA,KEAGAMAAN,SWASTA,DKI JAKARTA,6,144,TAFSIR,69.55,2017
7014,SMA/MA,KEAGAMAAN,SWASTA,JAWA BARAT,59,2109,TAFSIR,72.02,2017
7015,SMA/MA,KEAGAMAAN,SWASTA,JAWA TENGAH,56,2578,TAFSIR,69.29,2017
7016,SMA/MA,KEAGAMAAN,SWASTA,DI YOGYAKARTA,18,578,TAFSIR,76.77,2017
7017,SMA/MA,KEAGAMAAN,SWASTA,JAWA TIMUR,109,4072,TAFSIR,65.93,2017
7018,SMA/MA,KEAGAMAAN,SWASTA,ACEH,11,319,TAFSIR,62.33,2017
7019,SMA/MA,KEAGAMAAN,SWASTA,SUMATERA UTARA,15,307,TAFSIR,56.87,2017
7020,SMA/MA,KEAGAMAAN,SWASTA,SUMATERA BARAT,44,749,TAFSIR,68.22,2017
7021,SMA/MA,KEAGAMAAN,SWASTA,RIAU,11,305,TAFSIR,64.07,2017
7022,SMA/MA,KEAGAMAAN,SWASTA,JAMBI,12,438,TAFSIR,49.8,2017
7023,SMA/MA,KEAGAMAAN,SWASTA,SUMATERA SELATAN,19,685,TAFSIR,61.88,2017
7024,SMA/MA,KEAGAMAAN,SWASTA,LAMPUNG,17,520,TAFSIR,60.55,2017
7025,SMA/MA,KEAGAMAAN,SWASTA,KALIMANTAN BARAT,7,167,TAFSIR,67.8,2017
7026,SMA/MA,KEAGAMAAN,SWASTA,KALIMANTAN TENGAH,4,34,TAFSIR,-,2017
7027,SMA/MA,KEAGAMAAN,SWASTA,KALIMANTAN SELATAN,16,460,TAFSIR,64.26,2017
7028,SMA/MA,KEAGAMAAN,SWASTA,KALIMANTAN TIMUR,2,51,TAFSIR,62,2017
7029,SMA/MA,KEAGAMAAN,SWASTA,SULAWESI UTARA,1,23,TAFSIR,58,2017
7030,SMA/MA,KEAGAMAAN,SWASTA,SULAWESI TENGAH,12,221,TAFSIR,54.15,2017
7031,SMA/MA,KEAGAMAAN,SWASTA,SULAWESI SELATAN,13,344,TAFSIR,66.76,2017
7032,SMA/MA,KEAGAMAAN,SWASTA,SULAWESI TENGGARA,1,18,TAFSIR,62,2017
7033,SMA/MA,KEAGAMAAN,SWASTA,MALUKU,0,0,TAFSIR,-,2017
7034,SMA/MA,KEAGAMAAN,SWASTA,BALI,2,54,TAFSIR,69.44,2017
7035,SMA/MA,KEAGAMAAN,SWASTA,NUSA TENGGARA BARAT,40,1127,TAFSIR,58.42,2017
7036,SMA/MA,KEAGAMAAN,SWASTA,NUSA TENGGARA TIMUR,3,51,TAFSIR,32,2017
7037,SMA/MA,KEAGAMAAN,SWASTA,PAPUA,1,2,TAFSIR,42,2017
7038,SMA/MA,KEAGAMAAN,SWASTA,BENGKULU,0,0,TAFSIR,-,2017
7039,SMA/MA,KEAGAMAAN,SWASTA,MALUKU UTARA,0,0,TAFSIR,-,2017
7040,SMA/MA,KEAGAMAAN,SWASTA,BANGKA BELITUNG,2,73,TAFSIR,46.87,2017
7041,SMA/MA,KEAGAMAAN,SWASTA,GORONTALO,4,65,TAFSIR,67,2017
7042,SMA/MA,KEAGAMAAN,SWASTA,BANTEN,9,213,TAFSIR,55.93,2017
7043,SMA/MA,KEAGAMAAN,SWASTA,KEPULAUAN RIAU,1,50,TAFSIR,71,2017
7044,SMA/MA,KEAGAMAAN,SWASTA,SULAWESI BARAT,11,303,TAFSIR,47.12,2017
7045,SMA/MA,KEAGAMAAN,SWASTA,PAPUA BARAT,2,25,TAFSIR,55.04,2017
7046,SMA/MA,KEAGAMAAN,SWASTA,KALIMANTAN UTARA,0,0,TAFSIR,-,2017
7047,SMA/MA,KEAGAMAAN,SWASTA,DKI JAKARTA,6,144,HADIS,77.55,2017
7048,SMA/MA,KEAGAMAAN,SWASTA,JAWA BARAT,59,2109,HADIS,71.62,2017
7049,SMA/MA,KEAGAMAAN,SWASTA,JAWA TENGAH,56,2578,HADIS,81.39,2017
7050,SMA/MA,KEAGAMAAN,SWASTA,DI YOGYAKARTA,18,578,HADIS,83.03,2017
7051,SMA/MA,KEAGAMAAN,SWASTA,JAWA TIMUR,109,4072,HADIS,75.12,2017
7052,SMA/MA,KEAGAMAAN,SWASTA,ACEH,11,319,HADIS,78.67,2017
7053,SMA/MA,KEAGAMAAN,SWASTA,SUMATERA UTARA,15,307,HADIS,47.2,2017
7054,SMA/MA,KEAGAMAAN,SWASTA,SUMATERA BARAT,44,749,HADIS,75.85,2017
7055,SMA/MA,KEAGAMAAN,SWASTA,RIAU,11,305,HADIS,78,2017
7056,SMA/MA,KEAGAMAAN,SWASTA,JAMBI,12,438,HADIS,68.5,2017
7057,SMA/MA,KEAGAMAAN,SWASTA,SUMATERA SELATAN,19,685,HADIS,64.15,2017
7058,SMA/MA,KEAGAMAAN,SWASTA,LAMPUNG,17,520,HADIS,58.92,2017
7059,SMA/MA,KEAGAMAAN,SWASTA,KALIMANTAN BARAT,7,167,HADIS,71.06,2017
7060,SMA/MA,KEAGAMAAN,SWASTA,KALIMANTAN TENGAH,4,34,HADIS,-,2017
7061,SMA/MA,KEAGAMAAN,SWASTA,KALIMANTAN SELATAN,16,460,HADIS,74.11,2017
7062,SMA/MA,KEAGAMAAN,SWASTA,KALIMANTAN TIMUR,2,51,HADIS,52.67,2017
7063,SMA/MA,KEAGAMAAN,SWASTA,SULAWESI UTARA,1,23,HADIS,-,2017
7064,SMA/MA,KEAGAMAAN,SWASTA,SULAWESI TENGAH,12,221,HADIS,70.62,2017
7065,SMA/MA,KEAGAMAAN,SWASTA,SULAWESI SELATAN,13,344,HADIS,68.4,2017
7066,SMA/MA,KEAGAMAAN,SWASTA,SULAWESI TENGGARA,1,18,HADIS,46.89,2017
7067,SMA/MA,KEAGAMAAN,SWASTA,MALUKU,0,0,HADIS,-,2017
7068,SMA/MA,KEAGAMAAN,SWASTA,BALI,2,54,HADIS,75.29,2017
7069,SMA/MA,KEAGAMAAN,SWASTA,NUSA TENGGARA BARAT,40,1127,HADIS,61.05,2017
7070,SMA/MA,KEAGAMAAN,SWASTA,NUSA TENGGARA TIMUR,3,51,HADIS,54.2,2017
7071,SMA/MA,KEAGAMAAN,SWASTA,PAPUA,1,2,HADIS,-,2017
7072,SMA/MA,KEAGAMAAN,SWASTA,BENGKULU,0,0,HADIS,-,2017
7073,SMA/MA,KEAGAMAAN,SWASTA,MALUKU UTARA,0,0,HADIS,-,2017
7074,SMA/MA,KEAGAMAAN,SWASTA,BANGKA BELITUNG,2,73,HADIS,65.76,2017
7075,SMA/MA,KEAGAMAAN,SWASTA,GORONTALO,4,65,HADIS,66.78,2017
7076,SMA/MA,KEAGAMAAN,SWASTA,BANTEN,9,213,HADIS,64.15,2017
7077,SMA/MA,KEAGAMAAN,SWASTA,KEPULAUAN RIAU,1,50,HADIS,75.2,2017
7078,SMA/MA,KEAGAMAAN,SWASTA,SULAWESI BARAT,11,303,HADIS,38.18,2017
7079,SMA/MA,KEAGAMAAN,SWASTA,PAPUA BARAT,2,25,HADIS,-,2017
7080,SMA/MA,KEAGAMAAN,SWASTA,KALIMANTAN UTARA,0,0,HADIS,-,2017
